,coefs
Intercept,0.003175033038253247
pca_0,-0.0015456455965760744
pca_1,-0.00032368758567999747
pca_2,0.00036281564944878257
pca_3,0.0008255798767209342
pca_4,-0.0
pca_5,-0.00038125364315446406
pca_6,9.148235897912582e-05
pca_7,0.00015990626424168712
pca_8,-0.0001332336505421016
pca_9,-0.0
pca_10,-0.0
pca_11,-8.685821039482452e-05
pca_12,-0.00023798701876714032
pca_13,-0.00027370874755112734
pca_14,0.00013843608381131065
pca_15,-1.2223005199546614e-05
pca_16,0.00011168905686234463
pca_17,-0.0
pca_18,-0.00025001785041340533
pca_19,0.00018627959642131243
pca_20,-8.680054847129263e-05
pca_21,0.0
pca_22,-0.0
pca_23,-0.0
pca_24,0.0
pca_25,0.00017859950402819295
pca_26,0.0
pca_27,-0.0
pca_28,-2.1840636986883702e-05
pca_29,-1.4369160497963838e-05
pca_30,5.951639109695151e-05
pca_31,0.0
pca_32,1.868417301824276e-05
pca_33,-0.0
pca_34,-0.0
pca_35,0.0
pca_36,0.0
pca_37,-0.0
pca_38,0.0
pca_39,-0.0
pca_40,-0.0001025265042022696
pca_41,0.0
pca_42,-0.0
pca_43,0.0
pca_44,0.0
pca_45,0.0
pca_46,0.0
pca_47,0.0
pca_48,-0.0
pca_49,-0.0
pca_50,-0.0
pca_51,-0.0
pca_52,0.0
pca_53,0.0
pca_54,-1.5110708229749543e-07
pca_55,0.0
pca_56,0.0
pca_57,-0.0
pca_58,0.0
pca_59,-0.0
pca_60,5.343531197607568e-05
pca_61,-0.0
pca_62,0.0
pca_63,0.0
pca_64,0.0
pca_65,-0.0
pca_66,0.0
pca_67,0.0
pca_68,0.0
pca_69,-0.00016724055376861563
pca_70,-0.0
pca_71,-0.0
pca_72,-0.0
pca_73,0.0
pca_74,-0.0
pca_75,0.0
pca_76,0.0
pca_77,-7.324965420406939e-05
pca_78,0.00012023361732104518
pca_79,-0.00010933636909112867
pca_80,0.00017908850834061127
pca_81,-0.0
pca_82,-3.621748943477657e-05
pca_83,0.0
pca_84,0.0
pca_85,4.3499363835032636e-05
pca_86,-0.0
pca_87,0.0
pca_88,0.0
pca_89,-0.0
pca_90,0.0
pca_91,-0.0
pca_92,0.0
pca_93,-0.0
pca_94,0.0
pca_95,0.0
pca_96,0.0
pca_97,-0.0
pca_98,-0.0
pca_99,0.0
pca_100,0.0
pca_101,0.0
pca_102,0.0
pca_103,-0.0
pca_104,-0.0
pca_105,0.0
pca_106,0.0
pca_107,-0.0
pca_108,0.0
pca_109,-0.0
pca_110,-0.0
pca_111,-0.0
pca_112,-0.0
pca_113,-0.0
pca_114,0.0
pca_115,-0.0
pca_116,-0.0
pca_117,0.0
pca_118,7.0952219950757405e-06
pca_119,-0.0
pca_120,0.0
pca_121,-0.0
pca_122,-0.0
pca_123,0.0
pca_124,-0.0
pca_125,0.0
pca_126,0.0
pca_127,-0.0
pca_128,0.0
pca_129,-0.0
pca_130,0.0
pca_131,0.0
pca_132,0.0
pca_133,8.391738735396748e-05
pca_134,-0.0
pca_135,0.0
pca_136,-0.0
pca_137,0.0
pca_138,0.0
pca_139,-0.0
pca_140,2.8074130652134204e-06
pca_141,-0.0
pca_142,-4.866179642912742e-05
pca_143,-0.0
pca_144,0.0
pca_145,0.0
pca_146,7.143639501959355e-07
pca_147,0.0
pca_148,0.0
pca_149,0.0
pca_150,0.0
pca_151,0.00043502506110107853
pca_152,0.0
pca_153,-0.0
pca_154,-0.0
pca_155,-0.0
pca_156,-0.0
pca_157,0.0
pca_158,-0.0
pca_159,-0.0
pca_160,0.0
pca_161,-0.0
pca_162,0.00013302255117021418
pca_163,-0.0
pca_164,-0.0
pca_165,0.0
pca_166,0.0
pca_167,-0.0
pca_168,-0.00012997405513697437
pca_169,0.0
pca_170,-0.0
pca_171,0.0
pca_172,0.0
pca_173,-0.0
pca_174,0.0
pca_175,-0.0
pca_176,-0.0
pca_177,-0.0
pca_178,-0.0
pca_179,0.0
pca_180,0.0
pca_181,-0.00010538698701099774
pca_182,0.0
pca_183,-0.0
pca_184,-0.0
pca_185,-0.0
pca_186,0.0
pca_187,0.0
pca_188,-0.0
pca_189,-0.0
pca_190,-0.0
pca_191,0.0
pca_192,-0.0
pca_193,-0.0
pca_194,0.0
pca_195,0.0
